,STATE,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,mask_negative,mask_positive,votesDem,percD,votesRep,percR,electoralDem,electoralRep,Pop,blue,red
11,HI,0.0162,0.0188,0.0334,0.11660000000000001,0.8150000000000001,0.034999999999999996,0.9315999999999999,266891,62.22,128847,30.03,3,0,1412690,1,0
12,IA,0.10432323232323232,0.11732323232323236,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1
13,ID,0.1037727272727273,0.1447954545454546,0.1447727272727273,0.21984090909090906,0.3868409090909092,0.24856818181818185,0.6066818181818184,189765,27.49,409055,59.26,0,4,1826160,0,1
14,IL,0.07227450980392158,0.07131372549019607,0.12687254901960782,0.21949019607843157,0.510078431372549,0.1435882352941176,0.7295686274509809,3090729,55.83,2146015,38.76,20,0,12659700,1,0
15,IN,0.08609782608695653,0.09643478260869567,0.13042391304347828,0.23692391304347835,0.4502173913043479,0.18253260869565222,0.6871413043478263,1033126,37.91,1557286,56.82,0,11,6745350,0,1
16,KS,0.11688571428571429,0.11694285714285713,0.15111428571428573,0.21946666666666678,0.3955904761904764,0.23382857142857147,0.6150571428571429,427005,36.05,671018,56.65,0,6,2910360,0,1
17,KY,0.08633333333333337,0.08312499999999998,0.13109166666666675,0.20799166666666663,0.4914000000000001,0.16945833333333332,0.6993916666666666,628854,32.68,1202971,62.52,0,8,4499690,0,1
18,LA,0.08232812499999997,0.07245312500000001,0.11440625,0.2071562500000001,0.52365625,0.15478125,0.7308125000000002,780154,38.45,1178638,58.09,0,8,4645180,0,1
19,MA,0.0195,0.011785714285714287,0.04014285714285715,0.13114285714285714,0.7972857142857144,0.03128571428571429,0.9284285714285714,1995196,60.01,1090893,32.81,11,0,6976600,1,0
20,MD,0.02291666666666667,0.02091666666666667,0.05154166666666667,0.16183333333333333,0.74275,0.04383333333333334,0.9045833333333334,1677928,60.33,943169,33.91,10,0,6083120,1,0
21,ME,0.04750000000000001,0.058937500000000004,0.10006249999999997,0.20125,0.5923749999999999,0.10643749999999999,0.7936249999999999,357735,47.83,335593,44.87,2,0,1345790,1,0
22,MI,0.04479518072289157,0.06126506024096386,0.10028915662650602,0.21887951807228917,0.5748072289156623,0.10606024096385543,0.793686746987952,2268839,47.27,2279543,47.5,0,16,10045000,0,1
23,MN,0.10319540229885055,0.12233333333333338,0.15570114942528737,0.24312643678160928,0.375528735632184,0.225528735632184,0.6186551724137932,1367716,46.44,1322951,44.92,10,0,5700670,1,0
24,MO,0.1340608695652174,0.12716521739130435,0.15165217391304345,0.21053913043478262,0.37655652173913046,0.2612260869565218,0.587095652173913,1071068,38.14,1594511,56.77,0,10,6169270,0,1
25,MS,0.0678170731707317,0.08448780487804879,0.11953658536585365,0.20123170731707304,0.5268780487804877,0.15230487804878046,0.728109756097561,485131,40.11,700714,57.94,0,6,2989260,0,1
26,MT,0.15085714285714286,0.1715892857142857,0.14489285714285716,0.21514285714285722,0.31753571428571437,0.32244642857142863,0.5326785714285714,177709,35.75,279240,56.17,0,3,1086760,0,1
27,NC,0.053779999999999994,0.04655999999999999,0.09803000000000002,0.19832000000000005,0.6033100000000002,0.10034000000000003,0.8016299999999995,2189316,46.17,2362631,49.83,0,15,10611900,0,1
28,ND,0.18098113207547173,0.1640188679245283,0.1459245283018868,0.25181132075471707,0.25724528301886795,0.34500000000000003,0.5090566037735851,93758,27.23,216794,62.96,0,3,761723,0,1
29,NE,0.12380645161290325,0.11770967741935477,0.14575268817204304,0.2613118279569892,0.35145161290322574,0.24151612903225816,0.6127634408602152,284494,33.7,495961,58.75,0,2,1952570,0,1
30,NH,0.055099999999999996,0.057600000000000005,0.0735,0.18759999999999996,0.6263,0.1127,0.8139,348526,46.98,345790,46.61,4,0,1371250,1,0
31,NJ,0.02290476190476191,0.02123809523809524,0.049428571428571454,0.1579047619047619,0.7484285714285717,0.04414285714285715,0.9063333333333334,2148278,54.99,1601933,41.0,14,0,8936570,1,0
32,NM,0.042181818181818174,0.04963636363636363,0.07860606060606061,0.15969696969696967,0.6699999999999999,0.09181818181818181,0.8296969696969697,385234,48.26,319667,40.04,5,0,2096640,1,0
33,NV,0.02929411764705883,0.04182352941176471,0.10676470588235296,0.19358823529411762,0.6286470588235294,0.07111764705882354,0.822235294117647,539260,47.92,512058,45.5,6,0,3139660,1,0
34,NY,0.022838709677419345,0.022451612903225802,0.049387096774193555,0.13527419354838705,0.7699354838709678,0.04529032258064515,0.9052096774193548,4556124,59.01,2819534,36.52,29,0,19440500,1,0
35,OH,0.09145454545454547,0.10170454545454549,0.15027272727272728,0.2176818181818182,0.4388522727272728,0.19315909090909097,0.6565340909090909,2394164,43.56,2841005,51.69,0,18,11747700,0,1
36,OK,0.10036363636363636,0.12079220779220774,0.16663636363636364,0.22606493506493497,0.38610389610389595,0.2211558441558441,0.612168831168831,420375,28.93,949136,65.32,0,7,3954820,0,1
37,OR,0.03666666666666666,0.04899999999999999,0.08561111111111111,0.18819444444444444,0.6404166666666667,0.08566666666666664,0.8286111111111113,1002106,50.07,782403,39.09,7,0,4301090,1,0
38,PA,0.035835820895522376,0.035388059701492544,0.08625373134328354,0.1706567164179104,0.6719701492537313,0.07122388059701491,0.8426268656716418,2926441,47.46,2970733,48.18,0,20,12820900,0,1
39,RI,0.012199999999999999,0.009600000000000001,0.04,0.136,0.8019999999999999,0.021800000000000003,0.9380000000000001,252525,54.41,180543,38.9,4,0,1056160,1,0
40,SC,0.09713043478260867,0.07054347826086958,0.10928260869565218,0.1902608695652174,0.5328260869565218,0.16767391304347828,0.7230869565217392,855373,40.67,1155389,54.94,0,9,5210100,0,1
41,SD,0.14829230769230775,0.10552307692307694,0.16710769230769223,0.21813846153846148,0.3610307692307692,0.25381538461538455,0.5791692307692308,117458,31.74,227721,61.53,0,3,903027,0,1
42,TN,0.11004210526315789,0.1013578947368421,0.15195789473684207,0.2095263157894737,0.42718947368421034,0.21140000000000006,0.6367157894736842,870695,34.72,1522925,60.72,0,11,6897580,0,1
43,TX,0.05188976377952756,0.05967716535433067,0.0971929133858268,0.1886653543307088,0.6025590551181103,0.11156692913385828,0.7912244094488186,3877868,43.24,4685047,52.23,0,36,29472300,0,1
44,UT,0.09306896551724138,0.09696551724137932,0.11827586206896548,0.27186206896551723,0.41975862068965525,0.19003448275862067,0.6916206896551723,310676,27.46,515231,45.54,0,6,3282120,0,1
45,VA,0.0418721804511278,0.04642857142857144,0.09602255639097737,0.1778421052631579,0.6378270676691729,0.08830075187969921,0.8156691729323307,1981473,49.73,1769443,44.41,13,0,8626210,1,0
46,VT,0.04535714285714286,0.08778571428571427,0.06928571428571427,0.13764285714285715,0.66,0.13314285714285715,0.7976428571428571,178573,56.68,95369,30.27,3,0,628061,1,0
47,WA,0.03789743589743589,0.03887179487179487,0.07066666666666666,0.18241025641025632,0.6698717948717948,0.07676923076923077,0.8522820512820514,1742718,52.54,1221747,36.83,8,0,7797100,1,0
48,WI,0.08683333333333329,0.10204166666666668,0.1453611111111111,0.2323194444444445,0.4335000000000002,0.18887500000000004,0.6658194444444444,1382536,46.45,1405284,47.22,0,10,5851750,0,1
49,WV,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1
50,WY,0.1516086956521739,0.157,0.12300000000000001,0.232,0.3364347826086955,0.3086086956521739,0.5684347826086956,55973,21.63,174419,67.4,0,3,567025,0,1
